CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,PhoneNumber,CMS Region,Ownership Type,Certification Date,Total Number of Beds,Location
112012,"COLUMBUS SPECIALTY HOSPITAL, INC",616 19TH STREEET,,COLUMBUS,GA,31901,Muscogee,(706) 494-4075,4,For profit,01/01/2004,30,
292003,HORIZON SPECIALTY HOSPITAL,640 S MARTIN LUTHER KING BLVD,,LAS VEGAS,NV,89106,Clark,(702) 382-3155,9,For profit,06/01/1994,199,
452034,CORNERSTONE HOSPITAL AUSTIN,4207 BURNET RD,,AUSTIN,TX,78756,Travis,(512) 706-1900,6,For profit,03/01/1994,157,"4207 BURNET RD AUSTIN, TX 78756 (30.312212, -97.74364)"
452063,LIFECARE HOSPITALS OF SOUTH TX,2001 M STREET,,MC ALLEN,TX,78504,Hidalgo,(956) 926-7000,6,For profit,04/09/1998,84,
102025,KINDRED HOSPITAL THE PALM BEACHES,5555 W BLUE HERON BLVD,,RIVIERA BEACH,FL,33418,Palm Beach,(561) 840-0754,4,For profit,06/01/2009,70,"5555 W BLUE HERON BLVD RIVIERA BEACH, FL 33418 (26.783495, -80.110304)"
462004,PROMISE HOSPITAL OF SALT LAKE,8TH AVENUE C STREET,,SALT LAKE CITY,UT,84143,Salt Lake,(801) 408-7109,8,For profit,02/01/2003,41,
192034,ST LANDRY EXTENDED CARE HOSPITAL,"539 E. PRUDHOMME STREET, 6TH FLOOR",,OPELOUSAS,LA,70570,St. Landry,(337) 948-5184,6,For profit,09/01/2002,24,"539 E. PRUDHOMME STREET, 6TH FLOOR OPELOUSAS, LA 70570 (30.543457, -92.075785)"
152013,KINDRED HOSPITAL INDIANAPOLIS NORTH,8060 KNUE ROAD,,INDIANAPOLIS,IN,46250,Marion,(317) 813-8900,5,For profit,09/01/1996,45,"8060 KNUE ROAD INDIANAPOLIS, IN 46250 (39.90199, -86.060174)"
452108,DALLAS LTACH LLC,8050 MEADOWS ROAD,,DALLAS,TX,75231,Dallas,(469) 232-6500,6,For profit,07/01/2008,60,
452075,KINDRED HOSPITAL CLEAR LAKE,350 BLOSSOM ST,,WEBSTER,TX,77598,Harris,(281) 316-7800,6,For profit,09/01/2000,147,"350 BLOSSOM ST WEBSTER, TX 77598 (29.54298, -95.126939)"
362029,REGENCY HOSPITAL OF CLEVELAND EAST,4200 INTERCHANGE CORPORATE CENTER ROAD,,WARRENSVILLE HTS,OH,44128,Cuyahoga,(216) 910-3800,5,For profit,12/01/2002,142,"4200 INTERCHANGE CORPORATE CENTER ROAD WARRENSVILLE HTS, OH 44128 (41.43237, -81.505347)"
282002,SELECT SPECIALTY HOSPITAL - LINCOLN,2300 SOUTH 16TH STREET - 7TH FLOOR,,LINCOLN,NE,68502,Lancaster,(402) 483-8444,7,For profit,02/01/2015,24,"2300 SOUTH 16TH STREET - 7TH FLOOR LINCOLN, NE 68502 (40.791403, -96.698402)"
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,,MOBILE,AL,36607,Mobile,(251) 660-5611,4,Non-profit,10/01/1993,22,"5 MOBILE INFIRMARY CIRCLE MOBILE, AL 36607 (30.696443, -88.081017)"
112017,"LANDMARK HOSPITAL OF ATHENS, LLC",775 SUNSET DRIVE,,ATHENS,GA,30606,Clarke,(706) 425-1518,4,For profit,02/01/2009,42,"775 SUNSET DRIVE ATHENS, GA 30606 (33.965953, -83.411188)"
492011,UVA TRANSITIONAL CARE HOSPITAL,2965 IVY ROAD,,CHARLOTTESVILLE,VA,22908,Charlottesville City,(434) 924-7897,3,Government,07/01/2011,40,"2965 IVY ROAD CHARLOTTESVILLE, VA 22908 (38.050755, -78.548862)"
232031,"SELECT SPECIALTY HOSPITAL-WYANDOTTE, LLC","2333 BIDDLE AVENUE, 8TH FLOOR",,WYANDOTTE,MI,48192,Wayne,(313) 375-7075,5,For profit,09/28/2001,40,"2333 BIDDLE AVENUE, 8TH FLOOR WYANDOTTE, MI 48192 (42.209694, -83.148776)"
182004,SELECT SPECIALTY HOSPITAL-NORTHERN KENTUCKY,85 NORTH GRAND AVENUE THREE CENTER 3RD FLR CENTER,,FORT THOMAS,KY,41075,Campbell,(859) 572-3880,4,Non-profit,09/01/2004,33,
262017,"SELECT SPECIALTY HOSPITAL SPRINGFIELD, INC",1630 EAST PRIMROSE,,SPRINGFIELD,MO,65804,Greene,(417) 881-1657,7,For profit,11/01/2008,44,"1630 EAST PRIMROSE SPRINGFIELD, MO 65804 (37.147251, -93.266572)"
422004,SPARTANBURG HOSP FOR RESTORATIVE CARE,389 SERPENTINE DR,,SPARTANBURG,SC,29303,Spartanburg,(864) 560-3235,4,Government,10/01/1996,97,"389 SERPENTINE DR SPARTANBURG, SC 29303 (34.966404, -81.93694)"
