"Country","Year","Medical doctors (per 10 000 population)","Medical doctors (number)","Generalist medical practitioners (number)","Specialist medical practitioners (number)","Medical doctors not further defined (number)"
"Afghanistan"," 2016","2.840","9842","","","9842"
"Afghanistan"," 2015","2.907","9808","","","9808"
"Afghanistan"," 2014","3.039","9954","","","9954"
"Afghanistan"," 2013","2.894","9184","","","9184"
"Afghanistan"," 2012","2.450","7521","","","7521"
"Afghanistan"," 2011","2.553","7584","","","7584"
"Afghanistan"," 2010","2.396","6901","","","6901"
"Afghanistan"," 2009","2.156","6037","","","6037"
"Afghanistan"," 2008","1.771","4834","","","4834"
"Afghanistan"," 2007","1.774","4723","","","4723"
"Afghanistan"," 2006","1.630","4220","","","4220"
"Afghanistan"," 2001","1.957","4104","","","4104"
"Albania"," 2016","11.998","3511","","","3511"
"Albania"," 2013","12.706","3709","","","3709"
"Albania"," 2012","12.658","3696","","","3696"
"Albania"," 2011","12.225","3578","","","3578"
"Albania"," 2010","12.379","3640","","","3640"
"Algeria"," 2016","18.300","74309","","","74309"
"Algeria"," 2007","11.912","40857","","","40857"
"Algeria"," 2005","10.199","33952","","","33952"
"Algeria"," 2002","11.054","35368","","","35368"
"Andorra"," 2015","33.333","260","","","260"
"Andorra"," 2003","33.333","244","","","244"
"Angola"," 2017","2.149","6400","","","6400"
"Angola"," 2009","1.311","2956","","","2956"
"Angola"," 2004","0.618","1165","","","1165"
"Angola"," 1997","0.584","881","","","881"
"Antigua and Barbuda"," 2017","27.647","282","","","282"
"Antigua and Barbuda"," 2007","15.755","144","","","144"
"Antigua and Barbuda"," 1999","1.467","12","","","12"
"Argentina"," 2017","39.600","175313","","","175313"
"Argentina"," 2013","39.066","166187","","","166187"
"Argentina"," 2004","31.662","122623","","","122623"
"Argentina"," 2001","32.311","121076","","","121076"
"Argentina"," 1998","30.021","108800","","","108800"
"Argentina"," 1992","26.385","88800","","","88800"
"Armenia"," 2014","28.990","8425","","","8425"
"Armenia"," 2013","29.072","8412","","","8412"
"Armenia"," 2012","28.991","8355","","","8355"
"Armenia"," 2011","28.686","8249","","","8249"
"Armenia"," 2010","28.419","8177","","","8177"
"Australia"," 2016","35.874","86550","","","86550"
"Australia"," 2015","35.213","83804","","","83804"
"Australia"," 2014","34.620","81269","","","81269"
"Australia"," 2013","33.882","78439","","","78439"
"Australia"," 2012","32.976","75258","","","75258"
"Australia"," 2011","32.963","74100","","","74100"
"Australia"," 2010","33.481","74061","","","74061"
"Australia"," 2009","28.888","62800","","","62800"
"Australia"," 2006","26.765","55065","","","55065"
"Australia"," 2001","24.846","47875","","","47875"
"Australia"," 1996","25.199","46043","","","46043"
"Austria"," 2016","51.441","44816","","","44816"
"Austria"," 2015","50.701","44002","","","44002"
"Austria"," 2014","49.954","43126","","","43126"
"Austria"," 2013","49.316","42302","","","42302"
"Austria"," 2012","48.450","41268","","","41268"
"Austria"," 2011","48.031","40634","","","40634"
"Austria"," 2010","47.688","40105","","","40105"
"Azerbaijan"," 2014","34.466","32756","","","32756"
"Azerbaijan"," 2013","34.558","32434","","","32434"
"Azerbaijan"," 2012","34.901","32335","","","32335"
"Azerbaijan"," 2011","34.375","31441","","","31441"
"Azerbaijan"," 2010","36.629","33085","","","33085"
"Bahamas"," 2017","19.373","766","","","766"
"Bahamas"," 2011","22.640","830","","","830"
"Bahamas"," 2008","27.158","947","","","947"
"Bahamas"," 1998","10.755","312","","","312"
"Bahrain"," 2015","9.257","1270","","","1270"
"Bahrain"," 2014","9.570","1279","","","1279"
"Bahrain"," 2013","9.533","1254","","","1254"
"Bahrain"," 2012","9.568","1244","","","1244"
"Bahrain"," 2011","9.450","1208","","","1208"
"Bahrain"," 2010","9.493","1178","","","1178"
"Bahrain"," 2009","9.696","1149","","","1149"
"Bahrain"," 2008","9.896","1103","","","1103"
"Bahrain"," 2007","10.155","1052","","","1052"
"Bahrain"," 2006","10.142","972","","","972"
"Bahrain"," 2005","10.436","928","","","928"
"Bahrain"," 2004","9.677","803","","","803"
"Bahrain"," 2003","10.479","816","","","816"
"Bahrain"," 2002","10.774","792","","","792"
"Bahrain"," 2001","10.636","742","","","742"
"Bahrain"," 2000","10.202","678","","","678"
"Bangladesh"," 2017","5.268","86754","","","86754"
"Bangladesh"," 2016","4.822","78572","","","78572"
"Bangladesh"," 2015","4.709","75915","","","75915"
"Bangladesh"," 2014","4.737","75514","","","75514"
"Bangladesh"," 2013","4.089","64434","","","64434"
"Bangladesh"," 2012","3.879","60413","","","60413"
"Bangladesh"," 2011","3.724","57313","","","57313"
"Bangladesh"," 2010","3.526","53643","","","53643"
"Bangladesh"," 2009","3.438","51721","","","51721"
"Bangladesh"," 2008","3.317","49357","","","49357"
"Bangladesh"," 2007","3.193","46978","","","46978"
"Bangladesh"," 2006","3.070","44632","","","44632"
"Bangladesh"," 2005","2.990","42881","","","42881"
"Bangladesh"," 2004","2.723","38485","","","38485"
"Bangladesh"," 2003","2.631","36576","","","36576"
"Bangladesh"," 2001","2.423","32498","","","32498"
"Barbados"," 2017","24.886","711","","","711"
"Barbados"," 2005","17.847","489","","","489"
"Barbados"," 2001","15.515","420","","","420"
"Barbados"," 2000","13.529","365","","","365"
"Barbados"," 1995","13.509","358","","","358"
"Belarus"," 2014","40.772","38671","","","38671"
"Belarus"," 2013","39.331","37281","","","37281"
"Belarus"," 2012","38.809","36759","","","36759"
"Belarus"," 2011","37.953","35936","","","35936"
"Belarus"," 2010","35.179","33325","","","33325"
"Belgium"," 2016","33.234","37748","","","37748"
"Belgium"," 2015","30.138","34020","","","34020"
"Belgium"," 2014","29.729","33353","","","33353"
"Belgium"," 2013","29.592","32999","","","32999"
"Belgium"," 2012","29.397","32583","","","32583"
"Belgium"," 2011","29.222","32182","","","32182"
"Belgium"," 2010","29.085","31815","","","31815"
"Belgium"," 2006","20.957","22256","","","22256"
"Belgium"," 2005","20.479","21599","","","21599"
"Belize"," 2017","11.262","422","","","422"
"Belize"," 2012","11.494","387","","","387"
"Belize"," 2009","7.678","241","","","241"
"Belize"," 2000","10.150","251","","","251"
"Benin"," 2016","1.572","1709","","","1709"
"Benin"," 2013","1.506","1507","","","1507"
"Benin"," 2012","1.646","1601","","","1601"
"Benin"," 2008","0.623","542","","","542"
"Benin"," 2004","0.401","311","","","311"
"Bhutan"," 2017","3.715","300","233","67",""
"Bhutan"," 2016","3.748","299","","","299"
"Bhutan"," 2015","3.188","251","","","251"
"Bhutan"," 2014","3.142","244","","","244"
